Location,Price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15
"Balawant Nagar, Anandwalli Gaon,Nashik",662500,6,2.25,2450,25600,1,1340,1110,1957,0,1850,10230
"Chetana Nagar, Rane Nagar,Nashik",249900,3,1.75,1380,14000,1,1380,0,1939,1957,1490,18503
"Shreeji Vrunda,Indira Nagar, Nashik",324500,3,1.75,1920,11340,1,1230,690,1977,0,1980,9638
"Radha Vasudev Batavia Nagar, Govind Nagar,Nashik",430000,2,1.75,1350,4003,1,1350,0,2004,0,1350,4479
"Kishnra appartment,Chetana Nagar, Rane Nagar,Nashik",419950,2,1.75,1350,4003,1,1350,0,2004,0,1350,4479
"SHREE ATI SOCIETY ,Kamod Nagar, Indira Nagar,Nashik",285000,4,1.75,2510,7440,1,1290,1220,1962,0,1790,8000
"Atlantis, Amrutdham, Nashik",332000,4,2.5,2470,7780,2,2470,0,2002,0,2100,5972
"Anmol Valley 1,Lavate Nager, Parijat Nagar,Nashik",282000,4,1.75,1660,10725,1,960,700,1956,0,1340,9023
"Amrutdham, Nashik",320000,3,1,1340,5175,1,940,400,1987,0,1020,5500
"Nashik Road, Nashik",428750,3,1,1620,30736,1.5,1620,0,1911,1977,2440,28826
"Shanmukh Sneh Dhara, Nashik Road, Nashik",330000,3,2.25,2300,35287,2,2300,0,1977,0,1760,47916
"Pandav Nagari, Pathardi Phata,Nashik",456500,4,3.5,2000,2309,3,2000,0,2008,0,1440,1548
"Goreram complex,Raviwar Karanja, Panchavati,Nashik",352000,3,2.25,1640,11050,1,1640,0,1972,0,1870,11050
"Ishwar Park,Kala Nagar, Indira Nagar,Nashik",664000,4,2,1530,4080,1.5,1530,0,1912,0,1860,4080
"Vihang Apartment, Panchavati, Nashik",628000,3,1.75,4000,11894,1,2190,1810,1987,0,2530,8650
"RTO Colony, Uttara Nagar,Nashik",512000,3,1.75,1610,12555,1,1080,530,1977,0,1780,10374
"Ashwin Nagar, Nashik",254000,3,2,2070,9000,1,1450,620,1969,0,1630,7885
"Shree Shivleela, Indira Nagar, Nashik",535800,4,2.5,1900,5790,2,1900,0,1994,0,2030,5790
"Kamod Nagar, Indira Nagar,Nashik",287653,3,1,1050,16050,1,1050,0,1960,1981,1610,27600
"Cidco, Nashik",438000,3,2.5,1520,1304,2,1180,340,2006,0,1270,1718
"Indira Nagar, Nashik",450000,4,1.75,2390,23899,1,1750,640,1949,0,1840,33900
"Ashwin Nagar, Nashik",327000,5,2.75,2400,8050,2,2400,0,1998,0,2400,8050
"Golden Palm Apartment,Kala Nagar, Indira Nagar,Nashik",370500,4,2.5,1790,6120,2,1790,0,2005,0,1950,5660
"Rajiv Nagar, Nashik",265000,3,2.5,1720,6271,2,1720,0,1993,0,1570,6587
"College Road, Nashik",450000,4,2.75,2980,13260,1,1800,1180,1979,0,1920,10731
"Spring valley Apartment ,RTO Colony, Uttara Nagar,Nashik",425000,3,1,1520,213444,1.5,1520,0,1988,0,2640,213444
"Shivam Park Shraddha Vihar Indiranagar,Kala Nagar, Indira Nagar,Nashik",166600,3,1.75,1150,8690,1,1150,0,1977,0,1330,7040
"Kala Nagar, Indira Nagar,Nashik",245000,1,0.75,380,15000,1,380,0,1963,0,1170,15000
"Parksyde Homes,Panchavati, Nashik",565000,3,1,910,5212,1,910,0,1951,0,1520,6300
"Ganga Heights, Damodar Nagar, Pathardi Phata,Nashik",539900,3,1.75,1650,10150,1,1230,420,1976,0,1930,8958
"Shubham Apartment shanti nagar makhmalabad road Nashik,Ramkrishna Nagar, Makhmalabad,Nashik",910000,3,3.5,2480,3200,2,2480,0,2010,0,1980,3200
"Appts,Nashik Road, Nashik",280000,4,2.5,2050,7416,2,2050,0,1990,0,2050,7920
"Dhanvi Residency, Murari Nagar, Nashik",275000,3,2.25,1420,8549,2,1420,0,1989,0,1560,7471
"Kamod Nagar, Indira Nagar,Nashik",467000,3,2.5,3460,6590,2,3460,0,2001,0,2490,6312
"Prabhu tirtha ,Khutwad Nagar, Nashik",457500,3,2.5,1500,4445,2,1500,0,1996,0,1730,4408
"Landmark building,College Road, Nashik",381156,2,1,1320,3090,1,1320,0,1908,0,1270,4120
"Tulsi Puja Khole Mala nashik road ,Anand Nagar, Nashik Road,Nashik",289999,5,2.5,2180,8240,1,1220,960,1977,0,2050,7590
"Damodar Nagar, Pathardi Phata,Nashik",642450,3,1.75,1830,4160,1,1230,600,1919,0,1950,4160
"home sweet home,College Road, Nashik",469950,3,2.25,1620,8701,1,1220,400,1962,0,1600,7910
"Nashik Road, Nashik",795000,3,2,2920,13650,1,1460,1460,1975,0,2920,10988
"Ganesh Signifia,Indira Nagar, Nashik",785000,4,2.5,3300,10514,2,3300,0,1984,0,2820,11462
"Cidco, Nashik",860000,3,2.25,3060,12095,2,3060,0,1983,0,3060,11455
"Nashik Road, Nashik",1100000,0,0,3064,4764,3.5,3064,0,1990,0,2360,4000
"Shreeyog Shree Kala, Pushpanjali, Rajiv Nagar,Nashik",147500,3,1,1530,8498,1,1530,0,1959,0,1380,8498
"kanchwala park,Tagore Nagar, Nashik",390000,3,2,1910,11576,1,1410,500,1978,0,2040,8750
"Centrum Apartment, Deepali Nagar, Nashik",229000,3,1,1020,8100,1,1020,0,1954,0,1020,8100
"Cidco, Nashik",185000,3,1,1150,8100,1,1150,0,1932,0,1120,8100
"Damodar Nagar, Pathardi Phata,Nashik",414900,3,1.5,1260,9570,1,870,390,1941,0,1620,7000
"Gurudatta Nagar, Nashik Road,Nashik",200000,4,2,1920,4822,1,920,1000,1914,0,1120,4822
"Adhav Nagar, Nashik Road,Nashik",225000,4,2.25,1800,9350,1,1800,0,1969,0,2060,8800
"Nashik Road, Nashik",720000,3,1.75,2040,4000,2,1360,680,1924,0,1610,4000
"Pushpanjali, Rajiv Nagar,Nashik",930000,4,2.5,2200,4000,2,1430,770,1908,0,2100,4000
"Balawant Nagar, Anandwalli Gaon,Nashik",1270000,5,2.5,3200,17204,1,2160,1040,1952,0,4090,15732
"Rajey co operative Housing Society,CDO-MERI Colony, Nashik",700000,5,3.25,2400,3118,2,1780,620,1928,0,2100,3941
"Rajiv Nagar, Nashik",466000,2,1.5,1140,1058,3,1140,0,2005,0,1170,1116
"Chetana Nagar, Rane Nagar,Nashik",374000,3,1.5,1330,10640,1,1330,0,1976,0,1460,8520
"Vasantdadanagar, Adgaon,Nashik",480000,3,2.5,1940,10035,2,1940,0,1994,0,2810,8333
"Amruta society,Nashik Road, Nashik",740000,3,2.5,3000,25341,2,3000,0,1995,0,3000,32417
"Nashik Road, Nashik",1010000,4,1,1820,5400,1.5,1820,0,1923,2014,1820,5400
"Kala Nagar, Indira Nagar,Nashik",395000,4,2.5,2910,5000,2,2910,0,2002,0,2740,5045
"Sahil Park, MIDC, Satpur,Nashik",340000,2,1,1090,6771,1,1090,0,1954,0,1200,4992
"Saptashrungi Nagar, Kamatwade Gaon,Nashik",209000,3,2,1230,1340,2,1020,210,2003,0,1260,1312
"Super residency ,Dwarka, Nashik",431650,5,2.5,1710,7700,1.5,1710,0,1962,0,1530,7700
"Dwarka, Nashik",980000,5,2.5,3160,11470,1,1780,1380,1971,0,3260,11470
"sarswati appartment,Mhasrul Gaon, Nashik",660000,3,2.5,2680,28243,2,2680,0,1993,0,2670,32130
"Sociey,RTO Colony, Uttara Nagar,Nashik",730000,4,2.25,2190,9009,2,1840,350,1977,0,2190,10251
"THE METROZONE,Kala Nagar, Indira Nagar,Nashik",291500,3,1.75,1260,9600,1,1260,0,1988,0,1640,9946
"THE METROZONE ,Pandav Nagari, Pathardi Phata,Nashik",905000,4,3.5,2970,14486,2,2340,630,1997,0,3680,14486
"Om Nagar, Nashik",800000,4,2.5,2570,50308,1.5,2570,0,1993,0,3420,37891
"Shree lakhan,Bhujbal Knowledge City, Adgaon,Nashik",839900,4,3.5,3810,13592,1,2560,1250,2013,0,3230,9311
"Nirmal Avenue ,Gangapur, Nashik",200000,1,1.5,1010,1157,2,950,60,2007,0,1360,1688
"Rama apartment,Gulshan Colony, Nashik",300000,3,2,1480,6698,1,1080,400,1979,0,1850,7348
"Hari Om Housing Society,Kala Nagar, Indira Nagar,Nashik",530000,3,1.75,1250,6041,1.5,1250,0,1942,0,1180,6042
"vinayak residency,Khutwad Nagar, Nashik",314950,3,2.25,1654,8479,2,1654,0,1995,0,1654,8479
"Gurudevdatta Apartment, TIDKE NAGAR, Nashik",255000,3,1.75,1410,9315,1,1410,0,1960,0,1630,8250
"Gurukrupa ,Kala Nagar, Indira Nagar,Nashik",550000,5,2.75,2160,5720,1,1500,660,1950,0,2160,4996
"Panchashil complex ,Panchavati, Nashik",435000,3,1,1400,4800,1,700,700,1917,0,1470,6000
"Nirman Residency, Patil Colony, Canada Corner,Nashik",234000,3,1.75,1420,8738,1,1420,0,1966,0,1660,8738
"Patil Colony, Canada Corner,Nashik",615000,4,2.25,2500,10062,1,1600,900,1975,0,2500,9750
"Vinay nagar,Kala Nagar, Indira Nagar,Nashik",205000,3,2,1410,8384,1,1410,0,1985,0,1410,9205
"Shri Sarvesh Society,Ayodhya Nagar, Nashik Road,Nashik",384000,4,1.75,2100,7135,1,1050,1050,1955,0,1730,4000
"Mahalaxmi Enclave, Kala Nagar, Indira Nagar,Nashik",324000,3,2.5,1750,7208,2,1750,0,1994,0,2050,7524
"Shrivinyak appt Vinay Nagar Indira Nagar Nashik,Deepali Nagar, Nashik",645000,3,1.75,2070,5500,1,1130,940,1946,0,1800,4400
"Durga Nagar, Sneha Nagar,Nashik",570000,3,3.25,1570,1777,2,1260,310,2007,0,1000,1777
"Paras park,Dwarka, Nashik",324000,3,2.5,1920,5322,2,1920,0,1999,0,1920,5000
"Paras park,Dwarka, Nashik",270000,2,1,1000,10320,1,1000,0,1943,0,1100,5160
"Indira Nagar, Nashik",290000,5,1.5,2120,7700,1.5,2120,0,1962,0,1730,7700
"Shreya Residency,Yogakshem LIC Colony, Rajiv Nagar,Nashik",250000,3,2,1440,9220,1,1440,0,1965,0,1390,7830
"Akshay Apartment ,Jai Hind Colony, Mahajan Nagar,Nashik",342000,3,1.75,1660,16275,2,1660,0,1990,0,1520,16275
"Shree Villa, Mhasrul Gaon, Nashik",255000,3,1.5,1340,8450,1,1340,0,1958,0,1340,8920
"promod,Shivaji Nagar, Nashik",800000,3,2.25,2380,11824,1,1450,930,1972,0,2750,11491
"krishna arjun apartment,Kala Nagar, Indira Nagar,Nashik",451000,3,1.75,1560,4049,1.5,1000,560,1926,0,1430,3738
"Nashik Road, Nashik",990000,4,2.5,2780,10480,1,1390,1390,1967,0,2860,10506
"CIDCO, Ashwin Nagar, Nashik",288400,4,2.5,1860,6687,1,1220,640,1983,0,1860,6117
"Siddharth apt,Vijaynagar Colony, Nashik",420000,3,1.5,2390,4600,2,1750,640,1920,1995,1690,5220
"Indira Nagar, Nashik",359000,2,2.75,1370,1140,2,1080,290,2009,0,1370,1090
"HUSSAIN,Dwarka, Nashik",390000,4,3,2570,262018,1,1420,1150,1988,0,2260,19811
"Sai Samartha Apartment,Cidco, Nashik",300000,3,2.5,1320,2614,2,1320,0,2005,0,1320,2533
"Jejurkar Wadi, Sharanpur,Nashik",545000,5,2.5,2520,7863,1,1500,1020,1981,0,2030,8580
"Chetana Nagar, Rane Nagar,Nashik",288349,3,1,1250,18616,1,1250,0,1972,0,1920,15654
"Gangapur, Nashik",299900,3,2.25,1560,35026,1,1290,270,1985,0,1660,35160
"Spring valley ,RTO Colony, Uttara Nagar,Nashik",891000,4,2,2330,5000,1.5,1720,610,1925,0,2090,5000
"Pooja park Apartment,Chetana Nagar, Rane Nagar,Nashik",1200000,3,2,3660,22410,1,1830,1830,1947,0,2680,8250
"Bankar Hights,Dwarka, Nashik",378000,4,2.5,2790,4650,2,2790,0,2004,0,2820,4650
"Saptashrungi Apartment Krishna Nagar,Ganeshwadi, Krishna Nagar,Nashik",299995,2,1,1060,7200,1,1060,0,1951,0,1850,8291
"Pandit Colony, Nashik",253000,3,2.5,2020,6564,1,1310,710,1994,0,1710,5151
"Renuka Nagar, Nashik",350000,3,2.25,1580,47916,1,1580,0,1979,0,1980,75358
"Damodar Nagar, Pathardi Phata,Nashik",565000,4,3,2020,4300,1.5,2020,0,1900,0,1290,3440
"Rama apartment,Dwarka, Nashik",315000,2,1,970,5665,1,970,0,1908,0,1490,4429
"Damodar Nagar, Pathardi Phata,Nashik",570000,4,3,1490,6766,1.5,1490,0,1915,0,1990,6526
"Mangalmurti Nagar,RTO Colony, Uttara Nagar,Nashik",971000,5,3.5,4390,10140,2,3350,1040,2005,0,2010,8400
"New Pandit Colony, Nashik",915000,5,2.5,2750,5589,1.5,1840,910,1910,0,1460,4250
"Thakker treasure D,New Pandit Colony, Nashik",419000,4,1.5,2150,23568,1,2150,0,1950,0,2150,10125
"Park side,Cidco, Nashik",260000,4,1.75,1810,7480,1,1230,580,1977,0,1870,9594
"Komal Apartment, Govind Nagar, Nashik",1320000,3,3,2230,12968,2,2230,0,1990,0,2260,10160
"Rajpal Complex,Panchavati, Nashik",369950,3,1,2430,10720,1,2430,0,1977,0,1660,11560
"Shree Renuka Apartment, Sneha Nagar, Nashik",1030000,3,2.5,3680,13384,2,3680,0,1994,0,3600,11306
"Rajpal Complex,Panchavati, Nashik",435000,5,1,1410,6750,1.5,1410,0,1929,0,1360,6750
"Aaryavarta, Siddhivinayak Colony, Nashik",601000,3,1.75,1330,6743,1,1330,0,1958,2002,2600,7350
"Gole Colony, Nashik",460500,3,1,1490,10650,1,1150,340,1963,0,1730,9800
"Damodar Nagar, Pathardi Phata,Nashik",720000,3,2.5,2020,1159,3,2020,0,2000,0,1920,3600
"Shree Hari Tower,Holaram Colony, Sharanpur,Nashik",851000,4,2.5,3130,13202,2,3130,0,1996,0,2840,10470
"Shivaji Nagar, Nashik",550000,4,3,2670,5000,2,2670,0,1916,1978,2300,5000
"Nashik Road, Nashik",700000,4,1,1980,4560,1.5,1980,0,1920,0,1810,3245
"Ayodhya Nagari, Nashik",323000,3,1.75,2100,14850,1,2100,0,1963,0,1930,17238
"Kala Nagar, Indira Nagar,Nashik",345500,3,1,1350,8581,1,1350,0,1944,0,2080,8451
"Chetana Nagar, Rane Nagar,Nashik",378000,4,1.5,2140,7920,1,1190,950,1959,0,2140,7238
"Pramod Nagar, Nashik",650000,4,2,2208,5000,3,2208,0,1917,0,1760,5000
"Ayodhya Nagari, Nashik",385000,3,2,1010,7380,1,1010,0,1982,0,1650,9030
"Niki Heights Upnagar,Kalpataru Nagar, Nashik",425000,2,1,970,2970,1,970,0,1910,0,1670,3000
"Nashik Road, Nashik",210000,4,2,1520,6174,1.5,1520,0,1920,0,1390,5407
"Amrutdham, Nashik",630000,4,2.5,2740,43101,2,2740,0,1993,0,2740,33447
"ROYAL PARK,Bhagwant Nagar, Dr.Homi Bhabha Nagar,Nashik",335000,3,1.75,1570,7500,1,1300,270,1953,0,1590,7660
"Gurupushpa Apartment ,Mahatma Nagar, Parijat Nagar,Nashik",196500,3,1,1320,9000,1,1320,0,1966,0,1320,9800
"Gangapur, Nashik",582800,4,2.75,2550,7636,1,1440,1110,1986,0,2290,8223
"Makhmalabad, Nashik",440000,3,1.75,1560,7207,1,1250,310,1983,0,1540,7485
"Balawant Nagar, Anandwalli Gaon,Nashik",752500,4,2.25,2360,8616,2,2360,0,1974,0,2360,9337
"Radha Vasudev Batavia Nagar, Govind Nagar,Nashik",532500,3,1.75,1330,5000,2,1210,120,1909,0,1500,4000
"Bhanu Residency by Reputed Builder, Radha Vasudev Batavia Nagar, Govind Nagar,Nashik",265000,3,1,1070,9000,1,1070,0,1950,0,1840,12000
"Nashik Road, Nashik",397500,3,1.25,1510,13737,1,810,700,1961,0,2560,10202
"Bhanu Residency by Reputed Builder, Radha Vasudev Batavia Nagar, Govind Nagar,Nashik",524250,3,2.5,1710,3469,2,1710,0,1999,0,2120,3560
"Bhanu Residency by Reputed Builder, Radha Vasudev Batavia Nagar, Govind Nagar,Nashik",765000,4,2.75,2790,10819,2,2790,0,1996,0,3080,12603
"Rajiv Nagar, Nashik",648000,4,2.5,2620,5450,2,2620,0,2001,0,2590,5371
"Ganesh Signifia,Indira Nagar, Nashik",469500,5,2.5,2970,24759,1,1670,1300,1969,0,2100,21803
"Chetana Nagar, Rane Nagar,Nashik",237500,3,1.75,1050,7854,1,1050,0,1975,0,1360,7668
"Sneha Dhara ,College Road, Nashik",216000,3,1,1280,8712,1,1280,0,1956,0,1420,8800
"State Bank Colony, Indira Nagar,Nashik",427200,3,1,1030,8400,1,1030,0,1963,0,1270,8400
"Amrutdham, Nashik",280000,3,2.25,1900,7800,1,1390,510,1977,0,1730,7800
"Cidco, Nashik",718000,5,3,3070,9804,1,1740,1330,1968,0,2550,9689
"Shriniwas Apartment, Radha Vasudev Batavia Nagar, Govind Nagar,Nashik",420000,2,2.75,1760,4139,2,1760,0,2010,0,1870,3076
"Vaibhav Pride, Kala Nagar, Indira Nagar,Nashik",379000,2,1,930,5400,1,930,0,1952,0,1050,5400
"Siddhart Apartment, Panchavati, Nashik",326100,2,1,880,7683,1,880,0,1942,0,1370,7695
"Indira Nagar, Nashik",535000,3,2.5,1360,1016,3,1310,50,2003,0,1365,1156
"Ashwamegh Nagar, Makhmalabad,Nashik",283000,4,2.75,2130,8560,1,1560,570,1992,0,2130,8560
"Makhmalabad, Nashik",260000,3,1,1480,7469,1.5,1120,360,1940,0,1460,7379
"kanchwala park,Nashik Road, Nashik",399000,4,1,1500,6388,1.5,1500,0,1951,0,980,5366
"Ganesh Signifia,Indira Nagar, Nashik",484950,3,2.25,1670,5004,2,1670,0,1987,0,1850,5276
"jivan parth socity pinto colny ,Nashik Road, Nashik",640000,4,1.75,2060,9828,1,2060,0,1960,0,2260,9996
"Shivaji Nagar, Satpur,Nashik",585000,4,2.5,2160,8158,1,1660,500,1952,0,1520,7208
"Kala Nagar, Indira Nagar,Nashik",645000,4,2,2780,11583,1,1190,1590,1955,0,2580,10241
"Rajiv Nagar, Nashik",253000,3,2,1490,7651,1,1490,0,1988,0,1590,7795
"Kala Nagar, Indira Nagar,Nashik",178500,2,1,740,6460,1,740,0,1953,0,1170,6975
"Kala Nagar, Indira Nagar,Nashik",291000,4,2.5,1860,6325,2,1860,0,1991,0,1860,6449
"Shivaji Nagar, Nashik",199950,2,2.75,1590,20917,1.5,1590,0,1920,0,1310,6000
"Balawant Nagar, Anandwalli Gaon,Nashik",553500,2,1,850,2340,1,850,0,1922,0,1300,3000
"Pride Ganesh Row Houses,Nashik Road, Nashik",189950,2,1,1030,4188,1,1030,0,1981,0,1450,3376
"Navnath Nagar, Nashik",289000,3,2,1850,9550,1,1850,0,1988,0,2250,9550
"CDO-MERI Colony, Nashik",700000,4,2,1830,4590,2,1830,0,1908,0,1650,4590
"Shivshakti Nagar, Nashik",270000,3,2,1560,8853,1,1560,0,1967,0,1610,8750
"Vijay Nagar, Nashik",258000,4,1.75,1730,8320,1,1230,500,1977,0,1840,9800
"Sinnar Taluka, Nashik",530000,3,2.5,1930,7214,2,1930,0,2005,0,1930,7266
"Dwarka, Nashik",245000,3,2.25,1422,3677,2,1422,0,2012,0,1677,3677
"Jalapur, Nashik",563000,3,2,1380,5000,1.5,1380,0,1917,0,1350,5000
"Sinnar Taluka, Nashik",515000,3,2.5,2430,4203,2,2430,0,2001,0,2500,4798
"Deepali Nagar, Nashik",325000,4,2.5,2610,7091,2,2610,0,1987,0,2610,7773
"Radha Vasudev Batavia Nagar, Govind Nagar,Nashik",540000,3,2.25,2000,217800,2,2000,0,1996,0,2220,217800
"Vihitgaon, Nashik",280300,2,1,920,5000,1,490,430,1949,0,1500,5000
"RTO Colony, Uttara Nagar,Nashik",460000,4,1.75,1750,5500,1.5,1050,700,1926,0,1640,5500
"Dwarka, Nashik",475000,3,1.75,2020,8970,1,1180,840,1981,0,2140,8008
"Lasalgaon, Nashik",900000,4,2.25,2460,44431,1,2460,0,1957,0,2830,44431
"Janata Raja Colony, Nashik",538200,4,3,1780,7260,1,1780,0,1964,0,1810,7920
"Nashik Road, Nashik",429000,2,1,1080,3600,1,1080,0,1922,0,2230,4500
"Wadala Gaon, Nashik",164808,3,1,1250,5411,1,1250,0,1980,0,1490,6320
"Ramkrishna Nagar, Makhmalabad,Nashik",520000,4,2.25,1870,7700,2,1870,0,1977,0,1970,7700
"Pawar Wadi, Nashik",475000,3,1.75,1700,8432,1,1230,470,1977,0,1800,7842
"Matoshree Nagar, Nashik",283000,4,1.5,1480,47045,1,1480,0,1942,0,1530,11000
"Vihitgaon, Nashik",321500,4,2.5,1930,6228,2,1930,0,2000,0,1930,6168
"Shanti Nagar, Lekha Nagar,Nashik",840000,4,2.75,3130,21810,2,3130,0,1993,0,3330,21810
"Panchavati, Nashik",287000,3,2.25,1370,6000,2,1370,0,1992,0,1370,6200
"Bridge Nagar, Nashik",375000,3,1.75,960,8106,1,960,0,1962,0,1650,8035
"Asha Nagar, Nashik",349500,3,1.75,1260,7128,1,1260,0,1969,0,1330,7326
"Vasantdadanagar, Adgaon,Nashik",446450,3,1.5,1480,7749,1,1480,0,1960,0,1140,5320
"Shramik Nagar, Nashik",315000,4,2.5,1930,9643,2,1930,0,1992,0,1930,7525
"Ghatkopar, Nashik",271310,2,1,870,5340,1.5,870,0,1906,0,1190,4440
"Kailash Nagar, Nashik",315000,4,1,1300,8400,1.5,1300,0,1953,0,1330,8400
"Bhagyodaya Colony, Nashik",245000,3,1.75,1490,6930,1,1490,0,1990,0,1880,6861
"Professor Colony, Nashik",543115,2,1,1380,5484,1,1030,350,1947,0,1380,5347
"Sinnar Taluka, Nashik",900000,4,2,1190,8190,1.5,1190,0,1945,0,1190,1567
"Mhasrul Gaon, Nashik",2450000,4,4.25,4250,6552,2,2870,1380,2008,0,3640,8841
"DGP Nagar, Nashik",554000,2,2,1920,6045,1,1920,0,2003,0,1670,5200
"Atharv Colony, Veer Sawarkar Nagar,Nashik",249900,3,1.75,2080,12522,1,2080,0,1950,0,1690,11200
"Sinnar Taluka, Nashik",768000,3,2.5,3220,54160,2,2690,530,1981,0,3460,44374
"Deolali Gaon, Nashik",980000,4,3,3680,5854,1,2060,1620,1967,0,3140,5000
"Ayodhya Nagari, Nashik",395000,5,2.5,2070,9600,1,1270,800,1962,0,1950,7800
"Kalachowki, Nashik",415000,3,1.75,1480,2200,2,1480,0,1995,0,1360,2190
"Kathda, Nashik",380000,4,2.5,2000,6921,2,2000,0,2003,0,2430,6339
"Dattanagar, Dattanagar,Nashik",566000,3,2.5,1560,5259,2,1560,0,1999,0,2170,5461
"Bhagur Rural, Nashik",218500,2,1,1600,8961,1,1390,210,1949,0,1502,6798
"Bhor Town Ship, Nashik",550000,4,2.5,1940,10500,1,1140,800,1976,0,2200,10500
"Shreerang Nagar, Nashik",512031,3,1.75,1540,3000,1,770,770,1920,0,1420,4200
"Vaibhav Colony, Rajiv Nagar,Nashik",197500,2,1,820,8860,1,820,0,1950,0,1660,15375
"Makhmalabad, Nashik",470000,3,2.25,1780,8784,1,1230,550,1977,0,1780,7704
"Ganesh Baba Nagar, Nashik",590000,3,1.75,1560,242629,1,1560,0,1981,0,2320,220654
"Asha Nagar, Nashik",465000,4,2.25,2210,8862,1,1270,940,1977,0,2030,8862
"Gangapur, Nashik",499000,2,1.75,2040,114562,1,2040,0,1968,0,1850,94960
"Prashant Nagar, Pathardi Phata,Nashik",515000,3,2.25,1920,11500,1,1920,0,1972,2000,2260,8866
"DGP Nagar, Nashik",716500,3,1.75,1930,5000,1,1230,700,1936,0,2300,6000
"Ganpati Nagar, Anandwalli Gaon,Nashik",410000,3,2,1700,4250,1,890,810,1944,0,1440,4250
"Ashtavinayak Colony, Veer Sawarkar Nagar,Nashik",850000,4,3.25,3450,6500,2,2450,1000,1994,0,1750,6500
"D. K. Nagar, Nashik",1050000,4,3.25,3440,35021,2,3440,0,1983,0,3440,35021
"Makhmalabad, Nashik",648000,4,2.5,2380,13435,2,2380,0,1992,0,2730,9677
"Sagar Village, Nashik",620000,4,2.25,2400,5350,1.5,1460,940,1929,0,1250,4880
"Ambad Village, Nashik",935000,4,4.5,5670,84267,2,5670,0,2008,0,4100,83729
"Sri Ram Nagar, Konark Nagar,Nashik",379000,3,1,1140,10320,1,1140,0,1963,0,1140,10412
"Balawant Nagar, Anandwalli Gaon,Nashik",699000,3,1.75,1670,5375,1,1270,400,1952,0,1460,6125
"Vasantdadanagar, Adgaon,Nashik",528000,4,2.25,1910,8005,1,1280,630,1960,0,1860,8010
"CDO-MERI Colony, Nashik",425000,3,1.75,1560,9452,1,1560,0,1974,0,2200,9985
"Chandshi, Nashik",249500,2,1.75,1500,8645,1,1500,0,1963,0,1220,8645
"Mogal Nagar, Nashik",1040000,5,3.25,4475,6642,2,4475,0,2014,0,3720,6633
"Tagore Nagar, Nashik",790000,4,2.75,2840,11900,1,1640,1200,1961,0,2790,10070
"Chandshi, Nashik",399950,3,1,1020,18050,1,1020,0,1969,0,1750,11640
"Matoshree Nagar, Nashik",275000,3,1.5,1410,9000,1,1410,0,1953,0,1910,7214
"Dwarka, Nashik",550000,3,1,1520,2500,1.5,1520,0,1912,0,1880,3600
"Ambedkar Nagar, Chunchale,Nashik",140000,1,1,730,6890,1,730,0,1926,0,1790,7969
"Chandshi, Nashik",250000,3,1,1190,6250,1,990,200,1954,0,1760,6434
"Mahalaxmi Nagar, Nashik",318000,3,2.25,1410,8909,2,1410,0,1988,0,2050,8909
"Ayodhya Nagari, Nashik",505000,2,1,1240,57000,1,1240,0,1962,0,3050,25545
"Panchwati, MIDC Ambad,Nashik",470500,5,2.5,2500,9248,1,1300,1200,1966,0,2090,8568
"Wasan Nagar, Pathardi Phata,Nashik",360000,3,1,1050,9206,1.5,1050,0,1954,0,1380,6384
"Prabhat Nagar, Nashik",1240000,4,2.75,2680,8500,1,1480,1200,1962,0,2940,8650
"Satpur, Nashik",986000,3,2.5,2380,16080,1,1340,1040,1964,0,2560,10070
"Kala Nagar, Indira Nagar,Nashik",515000,2,1,1060,4228,1,860,200,1906,0,1060,4187
"Srinivas Colony, Uttara Nagar,Nashik",320000,3,1.75,2300,41900,1,1310,990,1939,0,1160,8547
"Panchavati, Nashik",310000,4,3,2010,7426,1,1090,920,1951,0,1470,7426
"Gayakhe Colony, Nashik Road,Nashik",356700,2,1,1090,5000,1,730,360,1942,0,990,5250
"Damodar Nagar, Pathardi Phata,Nashik",775000,4,1.75,2320,5595,1,1510,810,1956,0,1840,5596
"Gulshan Colony, Nashik",325000,3,1,1040,7541,1,1040,0,1951,0,1140,6100
"Saptashrungi Nagar, Kamatwade Gaon,Nashik",208000,4,2.75,1810,8677,1.5,1810,0,1962,0,1740,8677
"Wadala Gaon, Nashik",825000,2,1,1150,12775,1,1150,0,1908,0,2440,11852
"Mhasrul Gaon, Nashik",515000,3,2.5,2360,11254,1,2360,0,1990,0,2390,11254
"Prabudha Nagar, Satpur,Nashik",490000,3,1.5,1970,3400,1.5,1420,550,1929,0,1940,4000
"Balawant Nagar, Anandwalli Gaon,Nashik",675000,4,3,2690,28300,1,2690,0,1954,1999,2820,27100
"Deolali Gaon, Nashik",360000,4,2.5,2080,4080,1,1040,1040,1962,0,1340,4080
"Sadguru Nagar, Nashik",550000,4,2.5,2080,4080,1,1040,1040,1962,0,1340,4080
"Gandhi Nagar Airport Area, Deolali Gaon,Nashik",225000,3,1.5,1370,9000,1,1370,0,1962,0,1400,9075
"Kalpataru Nagar, Nashik",500000,3,2.75,3410,9360,1.5,3410,0,1967,0,2260,10128
"Nashik Road, Nashik",385000,4,2,1850,11700,1,1850,0,1969,0,2110,11700
